Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats GC Percent	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Level	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date
GCA_049999025.1	Colletotrichum acutatum		50963099	52	1727	181070	182409	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Bunn	2009
GCA_049999045.1	Colletotrichum acutatum		58281367	53	7746	364959	550739	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Stanford	2009
GCA_049999125.1	Colletotrichum acutatum		50963099	52	1727	181070	182409	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Stanford	2009
GCA_057627645.1	Colletotrichum acutatum	IMI345574	50555966	51.5	120	718963	1215904	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	New Zealand: Auckland	1991
GCA_058130455.1	Colletotrichum adenophorae	CGMCC 3.18952	48440355	51	421	244637	280821	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Lancang county	2016-08
GCF_013390185.1	Colletotrichum aenigma	Cg56	59189926	52.5	79	5181253	5181253	Contig	PacBio Sequel	PRJNA476648	strawberry	Japan: Tochigi	1987
GCA_013390185.1	Colletotrichum aenigma	Cg56	59189926	52.5	79	5181253	5181253	Contig	PacBio Sequel	PRJNA476648	strawberry	Japan: Tochigi	1987
GCA_022496045.1	Colletotrichum aenigma	JS-0419	65098038	50.5	18	5534730	5534730	Contig	Illumina HiSeq (PE + MP); PacBio Sequel	PRJNA785002	Suaeda japonica	South Korea: Suncheon, Jeollanam-do	2011-09-15
GCA_036785465.1	Colletotrichum agaves	ARM3	71384446	40.5	10921	73877	73877	Contig	DNBSEQ-G400	PRJNA1007928	Agave americana	Japan: Okinawa	2012-03
GCA_027406305.1	Colletotrichum asianum	FJ11	66118652	49.5	18	5978754	5978754	Contig	PacBio Sequel	PRJNA872318		China:fujian province	2018
GCA_009806415.1	Colletotrichum asianum	ICMP 18580	64731264	49.5	501	381785	389703	Scaffold	Illumina HiSeq	PRJNA504379		Thailand: Chiang Mai	2007-12-12
GCA_027406345.1	Colletotrichum asianum	YN55	62693972	49.5	13	5572377	5572377	Contig	PacBio Sequel	PRJNA872318		China:yunnan province	2018
GCA_045514765.1	Colletotrichum asianum	TYC-2	58189971	53	1155	168234	682807	Scaffold	Illumina MiSeq	PRJNA1007488	Mangifera indica	Taiwan: Pingtung	2008-08-15
GCA_014706365.1	Colletotrichum australisinense (nom. inval.)	GX1655	55304262	51.5	28	5698484	5698484	Contig	Oxford Nanopore GridION	PRJNA597926	Hevea brasiliensis	China: Guangxi	2016-06
GCA_058130435.1	Colletotrichum baiyuense	CGMCC 3.18941	50452817	53.5	953	186805	194084	Scaffold	Illumina NovaSeq	PRJNA1452218	Hippuris vulgaris	China: Sichuan Province, Baiyu county, Tibetan Autonomous Prefecture of Garz	2015-08
GCA_030770045.1	Colletotrichum brevisporum	C1	62659034	49	18	7932807	7932807	Contig	Illumina NovaSeq; Oxford Nanopore PromethION	PRJNA978983		China: Guangzhou	2023-02-01
GCA_018853505.1	Colletotrichum camelliae	LS-19	67471331	49	19	5851421	5851421	Contig	PacBio Sequel	PRJNA686827	Camellia sinensis	China:Zhejiang	not applicable
GCA_011947485.2	Colletotrichum camelliae	CcLH18	57798682	49.5	706	162123	198072	Scaffold	Illumina HiSeq	PRJNA613862	Camellia oleifera	China: Huna	2017-02-12
GCA_026740055.1	Colletotrichum camelliae	LT-3-1	67743009	49	21	5691745	5691745	Contig	PacBio RSII	PRJNA907149	tea	China:Hubei	2018-10
GCA_056956895.1	Colletotrichum cangyuanense	CGMCC 3.18969	58375145	52.5	1721	112030	112631	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Cangyuan county	2016-08
GCA_058130395.1	Colletotrichum casaense	CGMCC 3.18947	50297763	53.5	1548	132416	136006	Scaffold	Illumina NovaSeq	PRJNA1452218	Hippuris vulgaris	China: Sichuan province, Tibetan autonomous prefecture of Garz, Luhuo county, Casa lake	2015-08
GCA_030867225.1	Colletotrichum caudatum	CBS 131602	44202764	55	1630	62710	94998	Scaffold	Illumina	PRJNA262368	not applicable	missing	missing
GCA_060231475.1	Colletotrichum cereale		57980704	53	13	5437370	5437370	Complete Genome	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA1489556	Tall fescue	USA: North Carolina	2015
GCA_030867335.1	Colletotrichum cereale	CBS 129662	52150039	52.5	2022	62077	76554	Scaffold	Illumina	PRJNA262440	not applicable	missing	missing
GCA_034509575.1	Colletotrichum cereale	ASCC013	58779035	49.5	5108	34077	50482	Scaffold	Illumina HiSeq	PRJNA980566	oat	China: Tianzhen County, Shanxi Province	2019-08-05
GCA_034509595.1	Colletotrichum cereale	ASCC016	59048100	49.5	4016	49111	74417	Scaffold	Illumina HiSeq	PRJNA980566	oat	China: Youyu County, Shanxi Province	2019-07-20
GCA_034509685.1	Colletotrichum cereale	ASCC004	58523228	49.5	3824	51106	82919	Scaffold	Illumina HiSeq	PRJNA980566	oat	China: Pinglu County, Shanxi Province	2020-08-05
GCA_034509705.1	Colletotrichum cereale	ASCC002	58585161	50	3946	51432	75294	Scaffold	Illumina HiSeq	PRJNA980566	oat	China: Pinglu County, Shanxi Province	2019-07-20
GCA_060309125.1	Colletotrichum cereale	KS-F15-W16A	49742591	53.5	997	117203	117203	Contig	Illumina HiSeq	PRJNA262376	not applicable	missing	missing
GCA_060309145.1	Colletotrichum cereale	NJ-DG2A25	51114320	52	1797	139987	139987	Contig	Illumina HiSeq	PRJNA262375	not applicable	missing	missing
GCA_001937105.1	Colletotrichum chlorophyti	NTL11	52387045	50	3613	164384	644295	Scaffold	Illumina GAIIx	PRJNA350752	Solanum lycopersicum	Japan: Honshu	2013-08-09
GCF_026319265.1	Colletotrichum chrysophilum	AFK26	55966644	53	652	288101	288101	Contig	BGI DNBSEQ	PRJNA858866	Malus domestica (Honeycrisp)	USA	2018
GCA_026319215.1	Colletotrichum chrysophilum	PMKnsl-1	56056391	53.5	1262	255107	255107	Contig	BGI DNBSEQ	PRJNA858866	Malus domestica	USA	2018
GCA_026319245.1	Colletotrichum chrysophilum	AFK154	57854444	53	1778	253687	268763	Scaffold	BGI DNBSEQ	PRJNA858866	Malus domestica (Idared)	USA	2017
GCA_026319265.1	Colletotrichum chrysophilum	AFK26	55966644	53	652	288101	288101	Contig	BGI DNBSEQ	PRJNA858866	Malus domestica (Honeycrisp)	USA	2018
GCA_031006325.1	Colletotrichum chrysophilum	M932	55557938	53.5	1536	85481	86538	Scaffold	Illumina NovaSeq	PRJNA928458	Malus domestica	Italy: Emilia-Romagna	2022
GCA_026119605.1	Colletotrichum cliviicola	YN31	52051982	55.5	9	6464197	6464197	Contig	PacBio Sequel	PRJNA872318		China:yunnan province	2018
GCA_020466075.1	Colletotrichum coccodes		50243842	54	7394	28750	28750	Contig	IonTorrent	PRJNA755315	potato	USA: North Dakota	2004
GCA_002249775.1	Colletotrichum coccodes	NJ-RT1	50121991	54	827	294833	342280	Scaffold	Illumina MiSeq	PRJNA285890		USA: New Jersey	2013
GCA_002249805.1	Colletotrichum coccodes	RP180a	51499764	53.5	884	227998	280649	Scaffold	Illumina MiSeq	PRJNA285895		USA: Maryland	2013
GCA_027406065.1	Colletotrichum cordylinicola	HN23	61624325	49.5	20	5282153	5282153	Contig	PacBio Sequel	PRJNA872318		China:hainan province	2018
GCF_030867565.1	Colletotrichum costaricense	IMI 309622	51625248	51.5	73	2423109	2423109	Scaffold	Illumina MiSeq	PRJNA350895	Coffea sp.	Costa Rica: Turrialba	1978
GCA_030867565.1	Colletotrichum costaricense	IMI 309622	51625248	51.5	73	2423109	2423109	Scaffold	Illumina MiSeq	PRJNA350895	Coffea sp.	Costa Rica: Turrialba	1978
GCA_030869315.1	Colletotrichum cuscutae	IMI 304802	80453496	41.5	326	514068	514068	Scaffold	Illumina MiSeq	PRJNA350379	Cuscuta	Dominica	2012
GCA_056956775.1	Colletotrichum demersi	CGMCC 3.18946	53649156	52.5	755	537969	561899	Scaffold	Illumina NovaSeq	PRJNA1452218	Ceratophyllum demersum	China: Guizhou province, Guiyang city, Hongfeng lake	2015-08
GCF_034447905.1	Colletotrichum destructivum	CBS 520.97	51750812	54.5	12	5290227	5290227	Complete Genome	PacBio Sequel	PRJNA1029933	Medicago sativa	Saudi Arabia	1994-08-01
GCA_009900065.1	Colletotrichum destructivum	YC1	52145981	54	58	3611167	3611167	Contig	Illumina	PRJNA598348	tobacco	China	2017-06-08
GCA_034447905.1	Colletotrichum destructivum	CBS 520.97	51750812	54.5	12	5290227	5290227	Complete Genome	PacBio Sequel	PRJNA1029933	Medicago sativa	Saudi Arabia	1994-08-01
GCA_058130415.1	Colletotrichum dianense	CGMCC 3.18943	52000069	53	677	554497	581006	Scaffold	Illumina NovaSeq	PRJNA1452218	Alternanthera philoxeroides	China: Yunnan province, Kunming city, Dian lake	2014-07
GCA_058130375.1	Colletotrichum dimorphum	CGMCC 3.16083	61354543	51.5	1052	376348	388421	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Guizhouprovince, Pingtang county	2018-08
GCA_016618095.1	Colletotrichum echinochloae	B-48	62246358	46.5	21	5346453	5346453	Contig	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA672254	Echinochloa crus-galli	China:Wuhan	2018-08
GCA_016807845.1	Colletotrichum eleusines	NJC-16	53507824	51	15	5135075	5135075	Contig	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA671855	Eleusine indica	China:Wuhan	2018-08
GCA_027406105.1	Colletotrichum endophyticum	YN32	61437041	51.5	21	5167365	5167365	Contig	PacBio Sequel	PRJNA872318		China:yunnan province	2018
GCA_047496665.1	Colletotrichum endophyticum	GUCC 12108	57430559	52	19	4432404	4432404	Contig	Illumina NovaSeq; PacBio Sequel	PRJNA898668	not provided	China:Yangzhou	2019-10-17
GCA_030867245.1	Colletotrichum eremochloae	CBS 129661	47210890	52.5	547	221499	352689	Scaffold	Illumina	PRJNA262442	not applicable	missing	missing
GCA_037178605.1	Colletotrichum euphorbiae	CBS 134725	66282202	46.5	2250	98703	98703	Contig	DNBSEQ-G400	PRJNA1043725	Euphorbia sp.	South Africa: Cape Town	2012-09
GCA_019425465.1	Colletotrichum falcatum	CF08	56082967	52.5	238	488304	488304	Contig	PacBio RSII	PRJNA509540	sugarcane	India	not collected
GCA_001484525.1	Colletotrichum falcatum	Cf671	48186431	51.5	6400	16629	29329	Scaffold	Illumina HiSeq	PRJNA272959	Saccharum officinarum	India: TamilNadu	1996-06-30
GCA_030867235.1	Colletotrichum falcatum	MAFF306170	49085377	53	1664	65930	90754	Scaffold	Illumina	PRJNA262221	not applicable	missing	missing
GCA_023376865.1	Colletotrichum filicis	CBS 101611	62965231	46	369	322147	325017	Scaffold	Illumina MiSeq	PRJNA350378	fern	Costa Rica	missing
GCA_055672545.1	Colletotrichum filicis	H8	51903854	52	4224	25283	26191	Scaffold	Illumina NovaSeq	PRJNA1193589	Rumohra adiantiformis	Costa Rica: Fraijanes, Alajuela	2000
GCA_059631605.1	Colletotrichum filicis		49190417	52.5	3616	25567	25951	Scaffold	Illumina NovaSeq	PRJNA1193647	Rumohra adiantiformis	USA: Crescent City, Florida (FL)	2000
GCA_059631625.1	Colletotrichum filicis		49986082	52.5	4072	24766	24966	Scaffold	Illumina NovaSeq	PRJNA1193658	Rumohra adiantiformis	Costa Rica: Cervantes, Cartago	2000
GCA_059631635.1	Colletotrichum filicis		45982668	52.5	2121	28677	29450	Scaffold	Illumina NovaSeq	PRJNA1193654	Rumohra adiantiformis	USA: Seville, Florida	2000
GCA_059631645.1	Colletotrichum filicis		49319566	52.5	3665	25793	26419	Scaffold	Illumina NovaSeq	PRJNA1193664	Rumohra adiantiformis	USA: Pierson Florida	2000
GCA_059631685.1	Colletotrichum filicis		54247231	50	4557	24862	25192	Scaffold	Illumina NovaSeq	PRJNA1193671	Rumohra adiantiformis	Costa Rica: Tres Rios, Cartago	2000
GCA_059631725.1	Colletotrichum filicis		50578075	52	4142	24468	24838	Scaffold	Illumina NovaSeq	PRJNA1193665	Rumohra adiantiformis	Costa Rica: San Pablo, Alajuela	2000
GCF_027942845.1	Colletotrichum fioriniae	IMI 355084	49445812	52	47	2983733	2983733	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA786750	Quercus ilex	Switzerland: Lugano	1992
GCF_026319165.1	Colletotrichum fioriniae	ACFK16	49301785	52	513	742368	742368	Contig	BGI DNBSEQ	PRJNA858866	Malus domestica (Empire)	USA	2018
GCA_002930425.1	Colletotrichum fioriniae	HC91	49792461	52	3679	37365	468533	Scaffold	Illumina HiSeq	PRJNA270309	Malus	USA: Bigerville, PA	2013-02
GCA_002930455.1	Colletotrichum fioriniae	HC89	50150864	52	3327	38339	544764	Scaffold	Illumina HiSeq	PRJNA270309	Malus	USA: Bigerville, PA	2013-02
GCA_014705115.1	Colletotrichum fioriniae	KY615	49988189	52	4843	29324	48042	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2016-06-03
GCA_014705205.1	Colletotrichum fioriniae	KY648	50396376	51.5	5572	26625	84660	Scaffold	Illumina NextSeq	PRJNA625663	Vaccinium	USA:Kentucky	2016-06-25
GCA_014705245.1	Colletotrichum fioriniae	KY646	50064071	51.5	3577	31077	53113	Scaffold	Illumina NextSeq	PRJNA625663	Vaccinium	USA:Kentucky	2016-06-25
GCA_014705265.1	Colletotrichum fioriniae	KY640	49691380	52	3844	30825	49006	Scaffold	Illumina NextSeq	PRJNA625663	Vaccinium	USA:Kentucky	2016
GCA_014705275.1	Colletotrichum fioriniae	KY119	49840158	51.5	3425	32429	49414	Scaffold	Illumina NextSeq	PRJNA625663	Vaccinium	USA:Kentucky	2013-09-05
GCA_014705285.1	Colletotrichum fioriniae	KY116	50237383	51.5	5276	20168	53669	Scaffold	Illumina NextSeq	PRJNA625663	Vaccinium	USA:Kentucky	2013-09-05
GCA_014705335.1	Colletotrichum fioriniae	KY323	49661969	52	3100	34003	84093	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013-08-05
GCA_014705365.1	Colletotrichum fioriniae	KY6	49740091	51.5	3458	30151	47219	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013-07-25
GCA_014705545.1	Colletotrichum fioriniae	HC296	49753773	52	3599	32519	50913	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013
GCA_014705555.1	Colletotrichum fioriniae	HC25	49841025	51.5	3595	31866	64091	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013
GCA_020464245.1	Colletotrichum fioriniae	42872 A	49237692	52.5	3165	33646	33646	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	1997
GCA_020466255.1	Colletotrichum fioriniae	42949	51155235	52	4933	25968	25968	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2016
GCA_026319145.1	Colletotrichum fioriniae	ACFK5	49413510	52	144	688115	688115	Contig	BGI DNBSEQ	PRJNA858866	Malus domestica (Empire)	USA	2018
GCA_026319165.1	Colletotrichum fioriniae	ACFK16	49301785	52	513	742368	742368	Contig	BGI DNBSEQ	PRJNA858866	Malus domestica (Empire)	USA	2018
GCA_027942845.1	Colletotrichum fioriniae	IMI 355084	49445812	52	47	2983733	2983733	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA786750	Quercus ilex	Switzerland: Lugano	1992
GCA_057627605.1	Colletotrichum fioriniae	IMI345583	50369504	51.5	290	321324	802304	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	New Zealand: Auckland	1989
GCA_057627625.1	Colletotrichum fioriniae	IMI345576	50304596	51.5	355	284344	601073	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	New Zealand: Auckland	1991
GCA_057627845.1	Colletotrichum fioriniae	IMI324993	49522538	52	184	509653	1250283	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA	1988
GCA_057924085.1	Colletotrichum fioriniae	CREADC-F2259	50246289	51.5	234	485239	665193	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2016-08-09
GCA_057924375.1	Colletotrichum fioriniae	CREADC-F2317	50066314	51.5	277	343049	501763	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2018-09-05
GCA_057924395.1	Colletotrichum fioriniae	CREADC-F2471	50013592	51.5	252	354651	486422	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2021-03-25
GCA_057924435.1	Colletotrichum fioriniae	CREADC-F2475	49994399	52	261	383660	557109	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2021-03-25
GCA_057924495.1	Colletotrichum fioriniae	CREADC-F2307	50538504	52	277	367328	504902	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2018-08-11
GCA_057924515.1	Colletotrichum fioriniae	CREADC-F2308	50050627	51.5	247	378841	542993	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2018-08-11
GCF_000582985.1	Colletotrichum fioriniae PJ7	PJ7	49002765		3756	34930	137254	Scaffold	Illumina HiSeq	PRJNA233987	Fragaria x ananassa	New Zealand	1988
GCA_000582985.1	Colletotrichum fioriniae PJ7	PJ7	49002765	52.5	3756	34930	137254	Scaffold	Illumina HiSeq	PRJNA233987	Fragaria x ananassa	New Zealand	1988
GCF_009771025.1	Colletotrichum fructicola	CGMCC3.17371	58056435	53	447	905947	905947	Contig	Illumina MiSeq; Oxford Nanopore MinION	PRJNA532407	Fragaria x ananassa	China	2007
GCA_002314275.2	Colletotrichum fructicola	1104-7	58690411	53	17	4984911	4985658	Scaffold	Oxford Nanopore PromethION	PRJNA588516	apple	China:Hebei	2014-08
GCA_002887685.1	Colletotrichum fructicola	15060	55915688	53	1049	480505	480505	Contig	Illumina HiSeq	PRJNA418608	mango cv. Tainong	China: Guangxi	2013-05-20
GCA_009771025.1	Colletotrichum fructicola	CGMCC3.17371	58056435	53	447	905947	905947	Contig	Illumina MiSeq; Oxford Nanopore MinION	PRJNA532407	Fragaria x ananassa	China	2007
GCA_012932255.1	Colletotrichum fructicola	Cg38 S1	58952871	53	838	486905	1273051	Scaffold	Illumina HiSeq; PacBio	PRJNA476648	strawberry	Japan: Awa, Chiba	1994
GCA_013201875.1	Colletotrichum fructicola	CfS4	57426314	53	1668	249725	306788	Scaffold	Illumina HiSeq	PRJNA476648	strawberry	Japan: Chiba	2001
GCA_013201905.1	Colletotrichum fructicola	Cf415	56012246	53	892	281554	412455	Scaffold	Illumina HiSeq	PRJNA476648	strawberry	Japan: Saga	2007
GCA_013201925.1	Colletotrichum fructicola	Cf245	56060367	53	1252	337174	378303	Scaffold	Illumina HiSeq	PRJNA476648	strawberry	Japan: Chiba	2005
GCA_013390205.1	Colletotrichum fructicola	Cf413	56528462	53	14	4902990	4902990	Contig	PacBio Sequel	PRJNA476648	strawberry	Japan: Kochi	2007
GCA_014705485.1	Colletotrichum fructicola	HC540	57126425	53	3618	53276	107635	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013
GCA_017589655.1	Colletotrichum fructicola	1104-6	56580086	53.5	929	228772	257042	Scaffold	Illumina HiSeq	PRJNA705288	Malus domestica	China: Yangling	2014-07
GCA_024000835.1	Colletotrichum fructicola	N425	56288449	53	491	312635	312635	Contig	Illumina	PRJNA765139	Camellia sinensis	China: Ningde	2019-04-25
GCA_025558505.1	Colletotrichum fructicola	SX-6	56807082	53.5	510	285441	328553	Scaffold	Illumina HiSeq	PRJNA848944		China: Shaoxing	2017-08-16
GCA_027406145.1	Colletotrichum fructicola	GZ14	57249276	53	14	4898915	4898915	Contig	PacBio Sequel	PRJNA872318		China:guizhou province	2018
GCA_027406265.1	Colletotrichum fructicola	QZ-3	57493921	53	13	4896077	4896077	Contig	PacBio RSII	PRJNA872318		China:guangxi province	2018
GCA_027406285.1	Colletotrichum fructicola	HN47	57535124	53	12	4922103	4922103	Contig	PacBio Sequel	PRJNA872318		China:hainan province	2018
GCA_039271565.1	Colletotrichum fructicola	63	56410981	53	11	4894412	4894412	Complete Genome	PacBio HiFi Revio	PRJNA1092814	Hevea brasiliensis	China:Hainan	2013
GCA_040869005.1	Colletotrichum fructicola	LJMX19	56693759	53	13	5078845	5078845	Chromosome	Oxford Nanopore PromethION	PRJNA588516	Capsicum annuum	China: Meixian, Shaanxi	2018
GCA_046120875.1	Colletotrichum fructicola	CZ2101	55772811	53	624	279426	307414	Scaffold	Illumina	PRJNA1190153	taro	China:Fujian	2021-10
GCA_048771815.1	Colletotrichum fructicola	PZ02	56106626	53.5	1240	257434	257434	Contig	Illumina	PRJNA1233208		China	2023-10
GCA_051380545.1	Colletotrichum fructicola	F11	58115002	53	29	2743173	2743173	Contig	PacBio Sequel	PRJNA740246	water hyacinth	China: Fuzhou	2020-09-12
GCA_057627665.1	Colletotrichum fructicola	IMI345051	55542658	53.5	599	253668	325379	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Canada: Ontario	1991
GCA_057627675.1	Colletotrichum fructicola	IMI345052	55755726	53.5	765	214856	241056	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA: Florida	1991
GCA_057924185.1	Colletotrichum fructicola	C177	55536319	53	566	316130	350529	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Rovigo, Adria	2024-07-22
GCA_057924315.1	Colletotrichum fructicola	CREADC-F2480	55203807	53	562	305478	328312	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Padova, Cittadella	2021-03-29
