assembly_accession	organism_name	organism_infraspecific_names_strain	assembly_stats_total_sequence_length	assembly_stats_gc_percent	assembly_stats_number_of_contigs	assembly_stats_contig_n50	assembly_stats_scaffold_n50	assembly_level	assembly_sequencing_tech	assembly_bio_project_accession	assembly_bio_sample_host	assembly_bio_sample_geographic_location	assembly_bio_sample_collection_date	genome_size_mb	gc_percent	contig_count	contig_n50_kb	scaffold_n50_kb	refseq	assembly_priority	fragmentation
GCA_056956895.1	Colletotrichum cangyuanense	CGMCC 3.18969	58375145	52.5	1721	112030	112631	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Cangyuan county	2016-08	58.375145	52.5	1721	112.03	112.631	FALSE	2	High
GCA_058130395.1	Colletotrichum casaense	CGMCC 3.18947	50297763	53.5	1548	132416	136006	Scaffold	Illumina NovaSeq	PRJNA1452218	Hippuris vulgaris	China: Sichuan province, Tibetan autonomous prefecture of Garz, Luhuo county, Casa lake	2015-08	50.297763	53.5	1548	132.416	136.006	FALSE	2	High
GCA_030867225.1	Colletotrichum caudatum	CBS 131602	44202764	55	1630	62710	94998	Scaffold	Illumina	PRJNA262368	not applicable	missing	missing	44.202764	55	1630	62.71	94.998	FALSE	2	High
GCA_060231475.1	Colletotrichum cereale	NA	57980704	53	13	5437370	5437370	Complete Genome	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA1489556	Tall fescue	USA: North Carolina	2015	57.980704	53	13	5437.37	5437.37	FALSE	4	Low
GCA_001937105.1	Colletotrichum chlorophyti	NTL11	52387045	50	3613	164384	644295	Scaffold	Illumina GAIIx	PRJNA350752	Solanum lycopersicum	Japan: Honshu	2013-08-09	52.387045	50	3613	164.384	644.295	FALSE	2	High
GCA_031006325.1	Colletotrichum chrysophilum	M932	55557938	53.5	1536	85481	86538	Scaffold	Illumina NovaSeq	PRJNA928458	Malus domestica	Italy: Emilia-Romagna	2022	55.557938	53.5	1536	85.481	86.538	FALSE	2	Moderate
GCA_026119605.1	Colletotrichum cliviicola	YN31	52051982	55.5	9	6464197	6464197	Contig	PacBio Sequel	PRJNA872318	NA	China:yunnan province	2018	52.051982	55.5	9	6464.197	6464.197	FALSE	1	Low
GCA_002249775.1	Colletotrichum coccodes	NJ-RT1	50121991	54	827	294833	342280	Scaffold	Illumina MiSeq	PRJNA285890	NA	USA: New Jersey	2013	50.121991	54	827	294.833	342.28	FALSE	2	Moderate
GCA_027406065.1	Colletotrichum cordylinicola	HN23	61624325	49.5	20	5282153	5282153	Contig	PacBio Sequel	PRJNA872318	NA	China:hainan province	2018	61.624325	49.5	20	5282.153	5282.153	FALSE	1	Low
GCF_030867565.1	Colletotrichum costaricense	IMI 309622	51625248	51.5	73	2423109	2423109	Scaffold	Illumina MiSeq	PRJNA350895	Coffea sp.	Costa Rica: Turrialba	1978	51.625248	51.5	73	2423.109	2423.109	TRUE	2	Low
GCA_030869315.1	Colletotrichum cuscutae	IMI 304802	80453496	41.5	326	514068	514068	Scaffold	Illumina MiSeq	PRJNA350379	Cuscuta	Dominica	2012	80.453496	41.5	326	514.068	514.068	FALSE	2	Moderate
GCA_056956775.1	Colletotrichum demersi	CGMCC 3.18946	53649156	52.5	755	537969	561899	Scaffold	Illumina NovaSeq	PRJNA1452218	Ceratophyllum demersum	China: Guizhou province, Guiyang city, Hongfeng lake	2015-08	53.649156	52.5	755	537.969	561.899	FALSE	2	Moderate
GCF_034447905.1	Colletotrichum destructivum	CBS 520.97	51750812	54.5	12	5290227	5290227	Complete Genome	PacBio Sequel	PRJNA1029933	Medicago sativa	Saudi Arabia	1994-08-01	51.750812	54.5	12	5290.227	5290.227	TRUE	4	Low
GCA_058130415.1	Colletotrichum dianense	CGMCC 3.18943	52000069	53	677	554497	581006	Scaffold	Illumina NovaSeq	PRJNA1452218	Alternanthera philoxeroides	China: Yunnan province, Kunming city, Dian lake	2014-07	52.000069	53	677	554.497	581.006	FALSE	2	Moderate
GCA_058130375.1	Colletotrichum dimorphum	CGMCC 3.16083	61354543	51.5	1052	376348	388421	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Guizhouprovince, Pingtang county	2018-08	61.354543	51.5	1052	376.348	388.421	FALSE	2	Moderate
GCA_016618095.1	Colletotrichum echinochloae	B-48	62246358	46.5	21	5346453	5346453	Contig	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA672254	Echinochloa crus-galli	China:Wuhan	2018-08	62.246358	46.5	21	5346.453	5346.453	FALSE	1	Low
GCA_016807845.1	Colletotrichum eleusines	NJC-16	53507824	51	15	5135075	5135075	Contig	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA671855	Eleusine indica	China:Wuhan	2018-08	53.507824	51	15	5135.075	5135.075	FALSE	1	Low
GCA_047496665.1	Colletotrichum endophyticum	GUCC 12108	57430559	52	19	4432404	4432404	Contig	Illumina NovaSeq; PacBio Sequel	PRJNA898668	not provided	China:Yangzhou	2019-10-17	57.430559	52	19	4432.404	4432.404	FALSE	1	Low
GCA_030867245.1	Colletotrichum eremochloae	CBS 129661	47210890	52.5	547	221499	352689	Scaffold	Illumina	PRJNA262442	not applicable	missing	missing	47.21089	52.5	547	221.499	352.689	FALSE	2	Moderate
GCA_037178605.1	Colletotrichum euphorbiae	CBS 134725	66282202	46.5	2250	98703	98703	Contig	DNBSEQ-G400	PRJNA1043725	Euphorbia sp.	South Africa: Cape Town	2012-09	66.282202	46.5	2250	98.703	98.703	FALSE	1	High
GCA_030867235.1	Colletotrichum falcatum	MAFF306170	49085377	53	1664	65930	90754	Scaffold	Illumina	PRJNA262221	not applicable	missing	missing	49.085377	53	1664	65.93	90.754	FALSE	2	High
GCA_023376865.1	Colletotrichum filicis	CBS 101611	62965231	46	369	322147	325017	Scaffold	Illumina MiSeq	PRJNA350378	fern	Costa Rica	missing	62.965231	46	369	322.147	325.017	FALSE	2	Moderate
GCF_027942845.1	Colletotrichum fioriniae	IMI 355084	49445812	52	47	2983733	2983733	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA786750	Quercus ilex	Switzerland: Lugano	1992	49.445812	52	47	2983.733	2983.733	TRUE	2	Low
GCF_000582985.1	Colletotrichum fioriniae PJ7	PJ7	49002765	NA	3756	34930	137254	Scaffold	Illumina HiSeq	PRJNA233987	Fragaria x ananassa	New Zealand	1988	49.002765	NA	3756	34.93	137.254	TRUE	2	High
GCA_039271565.1	Colletotrichum fructicola	63	56410981	53	11	4894412	4894412	Complete Genome	PacBio HiFi Revio	PRJNA1092814	Hevea brasiliensis	China:Hainan	2013	56.410981	53	11	4894.412	4894.412	FALSE	4	Low
GCF_000319635.2	Colletotrichum fructicola Nara gc5	Nara gc5	59542867	53	12	5461344	5461344	Contig	PacBio Sequel	PRJNA171218	strawberry	NA	NA	59.542867	53	12	5461.344	5461.344	TRUE	1	Low
GCA_047496645.1	Colletotrichum gardeniae	GUCC 12049	63335798	50	32	4131996	4131996	Contig	Illumina NovaSeq; PacBio Sequel	PRJNA898668	Gardenia jasminoides	China:Yunnan	2018-01-15	63.335798	50	32	4131.996	4131.996	FALSE	1	Low
GCA_058130335.1	Colletotrichum garzense	CGMCC 3.18948	49886759	53.5	1284	126150	127393	Scaffold	Illumina NovaSeq	PRJNA1452218	Hippuris vulgaris	China: Sichuan province, Tibetan autonomous prefecture of Garz, Litang county	2015-08	49.886759	53.5	1284	126.15	127.393	FALSE	2	Moderate
GCA_024584535.1	Colletotrichum gigasporum	JS-0367	86997423	48	10	9214307	9214307	Complete Genome	PacBio Sequel; Illumina HiSeq PE	PRJNA742180	Morus alba	South Korea: Inje, Gangwon	2011-07-21	86.997423	48	10	9214.307	9214.307	FALSE	4	Low
GCF_011800055.1	Colletotrichum gloeosporioides	Lc1	61904035	51	541	429093	709944	Scaffold	PacBio; Illumina HiSeq	PRJNA577812	NA	China: NFU, Nanjing	2013-08-12	61.904035	51	541	429.093	709.944	TRUE	2	Moderate
GCA_021432615.1	Colletotrichum gloeosporioides 23	23	58838139	52.5	774	177473	2304310	Scaffold	Illumina	PRJNA196038	NA	missing	not collected	58.838139	52.5	774	177.473	2304.31	FALSE	2	Moderate
GCA_000446055.1	Colletotrichum gloeosporioides Cg-14	Cg-14	53209944	53.5	4537	25337	25337	Contig	454	PRJNA176412	avocado cv. Fuente	Israel	NA	53.209944	53.5	4537	25.337	25.337	FALSE	1	High
GCA_057627445.1	Colletotrichum godetiae	IMI351262	50479061	51.5	351	275039	569701	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Belgium	1992	50.479061	51.5	351	275.039	569.701	FALSE	2	Moderate
GCA_058130355.1	Colletotrichum gracile	CGMCC 3.16075	56408470	53	587	425791	471901	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Guizhou province, Nayong county	2018-08	56.40847	53	587	425.791	471.901	FALSE	2	Moderate
GCA_029226625.1	Colletotrichum graminicola	NA	57426633	46	18	5007504	6444216	Chromosome	PacBio RSII; Illumina NovaSeq	PRJNA900520	Zea mays	USA: Missouri	1978	57.426633	46	18	5007.504	6444.216	FALSE	3	Low
GCF_000149035.1	Colletotrichum graminicola M1.001	M1.001	51604658	49	1151	228959	579194	Scaffold	454; Sanger	PRJNA37879	NA	NA	NA	51.604658	49	1151	228.959	579.194	TRUE	2	Moderate
GCA_000313795.2	Colletotrichum higginsianum	IMI 349063	49084868	55	10282	6147	6147	Scaffold	NA	PRJNA47061	NA	NA	NA	49.084868	55	10282	6.147	6.147	FALSE	2	High
GCF_001672515.1	Colletotrichum higginsianum IMI 349063	IMI 349063	50716103	54.5	25	5201688	5201688	Chromosome	PacBio P5-C3 chemistry	PRJNA47061	Brassica rapa subsp. chinensis	Trinidad and Tobago: Trinidad	1991-04-24	50.716103	54.5	25	5201.688	5201.688	TRUE	3	Low
GCA_027406005.1	Colletotrichum horii	PLG3	68458539	46.5	17	8175915	8175915	Contig	PacBio Sequel	PRJNA872318	NA	China:guangxi province	2019	68.458539	46.5	17	8175.915	8175.915	FALSE	1	Low
GCA_001625285.1	Colletotrichum incanum	MAFF 238704	53597417	52	2908	177164	177164	Scaffold	Illumina HiSeq	PRJNA286717	Raphanus sativus L. Daikon Group	Japan: Miyazaki Prefecture	1998-10	53.597417	52	2908	177.164	177.164	FALSE	2	High
GCA_047496555.1	Colletotrichum jiangxiense	GUCC 12055	57568999	52.5	14	5020161	5020161	Contig	Illumina NovaSeq; PacBio Sequel	PRJNA898668	Fatsia japonica	China:Guizhou	2017-09-06	57.568999	52.5	14	5020.161	5020.161	FALSE	1	Low
GCF_051148585.1	Colletotrichum jinshuiense	NA	52104089	53	15	5052393	5052393	Complete Genome	PacBio	PRJNA1080248	Coptis chinensis Franch	China: Enshi	2019-06	52.104089	53	15	5052.393	5052.393	TRUE	4	Low
GCA_032988895.1	Colletotrichum kahawae	CIFC_Que2	59071264	52.5	1173	133039	199181	Scaffold	Illumina MiSeq	PRJNA564749	Coffea arabica	Kenya	1988	59.071264	52.5	1173	133.039	199.181	FALSE	2	Moderate
GCF_011947395.1	Colletotrichum karsti	CkLH20	51850041	52.5	203	460919	857663	Scaffold	Illumina HiSeq	PRJNA613862	Camellia oleifera	China: Huna	2017-02-12	51.850041	52.5	203	460.919	857.663	TRUE	2	Moderate
GCA_036785755.1	Colletotrichum ledebouriae	CBS 141284	145951786	36.5	12360	34954	34954	Contig	DNBSEQ-G400	PRJNA1008866	Ledebouria floribunda	South Africa: Eastern Cape Province, Haga Haga	2014-12	145.951786	36.5	12360	34.954	34.954	FALSE	1	High
GCA_003386485.1	Colletotrichum lentis	NA	56100083	50	2980	50944	4891426	Scaffold	Illumina	PRJNA407672	Lentil	Canada: Drinkwater, Saskatchewan	2001	56.100083	50	2980	50.944	4891.426	FALSE	2	High
GCA_027406045.1	Colletotrichum liaoningense	YN33	51853301	52	13	4641664	4641664	Contig	PacBio Sequel	PRJNA872318	NA	China:yunnan province	2018	51.853301	52	13	4641.664	4641.664	FALSE	1	Low
GCA_030413865.1	Colletotrichum limetticola	NA	50483870	53	1808	67018	68638	Scaffold	Illumina NovaSeq	PRJNA952538	Citrus x aurantiifolia	USA: Florida, Lake Alfred area	2000-03	50.48387	53	1808	67.018	68.638	FALSE	2	High
GCA_001693025.3	Colletotrichum lindemuthianum	89 A2 2-3	100390507	37.5	120	2180353	2180353	Scaffold	PacBio Sequel; Illumina HiSeq	PRJNA325493	NA	Brazil	2010	100.390507	37.5	120	2180.353	2180.353	FALSE	2	Moderate
GCA_043790985.1	Colletotrichum lini	394-2	53648951	54	12	5803347	5803347	Complete Genome	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum	not applicable	not collected	53.648951	54	12	5803.347	5803.347	FALSE	4	Low
GCA_029035315.1	Colletotrichum liriopes	PC 22-1	88115172	51	1304	431470	544794	Scaffold	Illumina MiSeq	PRJNA868772	Liriope	Colombia	missing	88.115172	51	1304	431.47	544.794	FALSE	2	Moderate
GCF_023278565.1	Colletotrichum lupini	IMI 504893	63407421	46.5	11	7871922	7871922	Complete Genome	PacBio	PRJNA360503	Lupinus albus	France: Pays de la Loire, Saint Pierre du Chemin	2014-06-22	63.407421	46.5	11	7871.922	7871.922	TRUE	4	Low
GCA_022457145.1	Colletotrichum magnum	WT	57112935	50.5	684	155486	159803	Scaffold	Illumina MiSeq	PRJNA777582	watermelon	USA	1989	57.112935	50.5	684	155.486	159.803	FALSE	2	Moderate
GCA_030868995.1	Colletotrichum melonis	NA	50135825	52	110	2830390	2830390	Scaffold	Illumina MiSeq	PRJNA348398	Malus domestica	Brazil: Rio Grande do Brazil	2014	50.135825	52	110	2830.39	2830.39	FALSE	2	Moderate
GCA_058130315.1	Colletotrichum menglaense	CGMCC 3.18958	59140509	52	207	907180	989000	Scaffold	Illumina NovaSeq	PRJNA1452218	NA	China: Xishuangbanna dai autonomous prefecture, Tropical forest of xishuangbanna tropical botanical garden chinese academy of sciences	2016-07	59.140509	52	207	907.18	989	FALSE	2	Moderate
GCA_027406025.1	Colletotrichum musae	GZ23	60479243	49.5	14	6123291	6123291	Contig	PacBio Sequel	PRJNA872318	NA	China:guizhou province	2018	60.479243	49.5	14	6123.291	6123.291	FALSE	1	Low
GCA_014235935.1	Colletotrichum musicola	LFN0074	52725698	55	2791	41073	46381	Scaffold	Illumina MiSeq	PRJNA577394	Glycine max	Brazil: Lucas do Rio Verde, Mato Grosso	2017-03-01	52.725698	55	2791	41.073	46.381	FALSE	2	High
GCA_056956795.1	Colletotrichum nanhuaense	CGMCC 3.18962	60094826	51.5	389	688666	785038	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Nanhua county	2017-08	60.094826	51.5	389	688.666	785.038	FALSE	2	Moderate
GCF_030913465.1	Colletotrichum navitas	CBS 125086	52434554	48.5	702	318299	318299	Contig	PacBio	PRJNA262371	not applicable	missing	missing	52.434554	48.5	702	318.299	318.299	TRUE	1	Moderate
GCA_036785495.1	Colletotrichum neosansevieriae	CBS 139918	78944493	40.5	1347	179132	179132	Contig	DNBSEQ-G400	PRJNA1009234	Dracaena trifasciata	South Africa: Gauteng	2014-09	78.944493	40.5	1347	179.132	179.132	FALSE	1	Moderate
GCA_059628155.1	Colletotrichum nigrum	C21KSPeF19	51345418	53.5	1460	536066	536066	Contig	Illumina	PRJNA1479150	not collected	Russia: Krasnodar Krai	2021	51.345418	53.5	1460	536.066	536.066	FALSE	1	Moderate
GCA_026319155.1	Colletotrichum noveboracense	Coll940	58178553	52.5	1054	148120	168995	Scaffold	BGI DNBSEQ	PRJNA858866	Juglans nigra	USA	2013	58.178553	52.5	1054	148.12	168.995	FALSE	2	Moderate
GCA_026319135.1	Colletotrichum nupharicola	CBS470	58756237	52.5	1734	137573	137573	Contig	BGI DNBSEQ	PRJNA858866	Nuphar lutea	USA	2013	58.756237	52.5	1734	137.573	137.573	FALSE	1	High
GCA_057627725.1	Colletotrichum nymphaeae	IMI345032	50196644	52	24	3502845	6143361	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA1376502	Strawberry	Italy	1991	50.196644	52	24	3502.845	6143.361	FALSE	2	Low
GCA_001563115.1	Colletotrichum nymphaeae SA-01	SA-01	49956273	53	2247	75338	91051	Scaffold	Illumina	PRJNA237763	Fragaria x ananassa	Denmark: Island of Falster	2000-06	49.956273	53	2247	75.338	91.051	FALSE	2	High
GCA_056956705.1	Colletotrichum oblongisporum	CGMCC 3.16074	57259983	52.5	431	349760	368585	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Kunming city, Xishan park	2017-09	57.259983	52.5	431	349.76	368.585	FALSE	2	Moderate
GCA_000350065.2	Colletotrichum orbiculare MAFF 240422	104-T	89748316	37.5	6664	50717	2078754	Scaffold	PacBio RSII; Illumina GAIIx; 454	PRJNA171217	Cucumis sativus	Japan: Kyoto	1951	89.748316	37.5	6664	50.717	2078.754	FALSE	2	High
GCF_001831195.1	Colletotrichum orchidophilum	IMI 309357	48556462	51	328	284473	284473	Scaffold	Illumina HiSeq	PRJNA342923	Phalaenopsis sp.	United Kingdom	1986	48.556462	51	328	284.473	284.473	TRUE	2	Moderate
GCF_030867605.1	Colletotrichum paranaense	IMI 384185	49177916	52	36	3374443	3374443	Contig	Illumina MiSeq	PRJNA350896	Caryocar brasiliense	Brazil	2000	49.177916	52	36	3374.443	3374.443	TRUE	1	Low
GCA_058130295.1	Colletotrichum parvisporum	CGMCC 3.16078	58866500	51.5	435	387412	457306	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Guangxi province, Debao county	2018-08	58.8665	51.5	435	387.412	457.306	FALSE	2	Moderate
GCA_058130275.1	Colletotrichum philoxeroidis	CGMCC 3.18945	51892147	52.5	229	482802	499500	Scaffold	Illumina NovaSeq	PRJNA1452218	Alternanthera philoxeroides	China: Yunnan province, Chengjiang city, Fuxian lake	2014-07	51.892147	52.5	229	482.802	499.5	FALSE	2	Moderate
GCF_030913505.1	Colletotrichum phormii	CBS 102054	51666170	52.5	71	1798794	1798794	Contig	PacBio	PRJNA333354	not applicable	missing	missing	51.66617	52.5	71	1798.794	1798.794	TRUE	1	Low
GCA_014235945.1	Colletotrichum plurivorum	LFN00145	49703650	56	1169	112734	130438	Scaffold	Illumina MiSeq	PRJNA577396	Glycine max	Brazil: Rio Verde, Goias state	2017-05-01	49.70365	56	1169	112.734	130.438	FALSE	2	Moderate
GCA_001563125.1	Colletotrichum salicis	CBS 607.94	48373413	53	5121	25648	46166	Scaffold	Illumina	PRJNA238477	Salix sp.	Netherlands	1994-09-11	48.373413	53	5121	25.648	46.166	FALSE	2	High
GCA_026260285.1	Colletotrichum sansevieriae	NA	98568926	42	3311	63895	73168	Scaffold	Illumina NovaSeq	PRJNA877595	Dracaena trifasciata	USA: Columbus, OH	2021-09-16	98.568926	42	3311	63.895	73.168	FALSE	2	High
GCA_026540245.1	Colletotrichum scovillei	YN51	52197969	52	17	4391179	4391179	Scaffold	PacBio Sequel	PRJNA872318	Mangifera indica	China:Yunnan Province	2018	52.197969	52	17	4391.179	4391.179	FALSE	2	Low
GCA_006783085.1	Colletotrichum shisoi	PG-2018a	69667657	46.5	27161	8230	14839	Scaffold	Illumina HiSeq	PRJNA431477	Perilla frutescens var. crispa	Japan:Osaka	2006-07	69.667657	46.5	27161	8.23	14.839	FALSE	2	High
GCA_038023885.1	Colletotrichum siamense	HN08	56819887	52.5	10	6661935	6661935	Complete Genome	PacBio HiFi Revio	PRJNA1092795	Hevea brasiliensis	China:Hainan	2013	56.819887	52.5	10	6661.935	6661.935	FALSE	4	Low
GCA_004367935.1	Colletotrichum sidae	CBS 518.97	86827816	38	14933	36815	39310	Scaffold	Illumina HiSeq	PRJNA445190	Sida spinosa	USA:Arkansas	1991	86.827816	38	14933	36.815	39.31	FALSE	2	High
GCA_057627585.1	Colletotrichum simmondsii	IMI346326	50862996	51.5	139	728524	1324017	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Australia	1967	50.862996	51.5	139	728.524	1324.017	FALSE	2	Moderate
GCA_057924145.1	Colletotrichum sojae	C141	50237763	55	818	157304	183279	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Rovigo, Adria	2023-08-08	50.237763	55	818	157.304	183.279	FALSE	2	Moderate
GCA_030867255.1	Colletotrichum somersetense	CBS 131599	53667270	50	1403	117922	180118	Scaffold	Illumina	PRJNA262441	not applicable	missing	missing	53.66727	50	1403	117.922	180.118	FALSE	2	Moderate
GCA_059792015.1	Colletotrichum sp. AMP-2025a	AMP-2025a	77364018	41	2075	142314	176399	Scaffold	Illumina NovaSeq	PRJNA1233329	Banana	Colombia:Antioquia,Carepa	2020-04-16	77.364018	41	2075	142.314	176.399	FALSE	2	High
GCA_044063575.1	Colletotrichum sp. CLE4	CLE4	48026924	52.5	363	237235	506655	Scaffold	Illumina HiSeq 4000	PRJNA1140278	Zostera marina	USA: Bodega Bay, CA	2018-05-31	48.026924	52.5	363	237.235	506.655	FALSE	2	Moderate
GCA_009801095.1	Colletotrichum sp. COLG25	COLG25	56915549	52.5	182	714863	5370971	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan:Punjab	2016	56.915549	52.5	182	714.863	5370.971	FALSE	2	Moderate
GCA_009800995.1	Colletotrichum sp. COLG31	COLG31	53760195	52.5	722	162796	4980158	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan:Punjab	2016	53.760195	52.5	722	162.796	4980.158	FALSE	2	Moderate
GCA_014705495.1	Colletotrichum sp. HC278	HC278	53185075	53.5	16948	5545	8480	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013	53.185075	53.5	16948	5.545	8.48	FALSE	2	High
GCA_014705525.1	Colletotrichum sp. HC292	HC292	54637437	53.5	6973	18742	29983	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013	54.637437	53.5	6973	18.742	29.983	FALSE	2	High
GCA_003122705.1	Colletotrichum sp. JS-367	JS-367	87196530	47.5	70	8071359	8071359	Scaffold	PacBio; Illumina HiSeq	PRJNA368787	NA	South Korea	2016-06	87.19653	47.5	70	8071.359	8071.359	FALSE	2	Low
GCA_025328335.1	Colletotrichum sp. SAR 10_65	SAR 10_65	59664880	51.5	1174	121239	121239	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	59.66488	51.5	1174	121.239	121.239	FALSE	1	Moderate
GCA_028639655.1	Colletotrichum sp. SAR 10_66	SAR 10_66	61044235	51	1334	114296	114296	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	61.044235	51	1334	114.296	114.296	FALSE	1	Moderate
GCA_025327165.1	Colletotrichum sp. SAR 10_70	SAR 10_70	59535609	51.5	1014	132840	132840	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	59.535609	51.5	1014	132.84	132.84	FALSE	2	Moderate
GCA_025327135.1	Colletotrichum sp. SAR 10_71	SAR 10_71	59858058	51.5	1200	118449	118449	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	59.858058	51.5	1200	118.449	118.449	FALSE	2	Moderate
GCA_025327155.1	Colletotrichum sp. SAR 10_75	SAR 10_75	60807691	51.5	1046	142260	143811	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	60.807691	51.5	1046	142.26	143.811	FALSE	2	Moderate
GCA_025327145.1	Colletotrichum sp. SAR 10_76	SAR 10_76	60132265	51	1215	115369	115369	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	60.132265	51	1215	115.369	115.369	FALSE	1	Moderate
GCA_025330015.1	Colletotrichum sp. SAR 10_77	SAR 10_77	60541510	51.5	1171	116320	116320	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	60.54151	51.5	1171	116.32	116.32	FALSE	2	Moderate
GCA_025327125.1	Colletotrichum sp. SAR 10_86	SAR 10_86	60722520	51.5	1704	96072	96072	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected	60.72252	51.5	1704	96.072	96.072	FALSE	2	High
GCA_025329375.1	Colletotrichum sp. SAR 10_96	SAR 10_96	56155263	52.5	1569	100534	100534	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Peru	not collected	56.155263	52.5	1569	100.534	100.534	FALSE	1	High
